spend_date,channel,spend_usd,clicks,impressions
2024-10-01,paid_search,1991.36,1457,31704
2024-10-01,social,1168.35,604,12013
2024-10-01,email,127.8,66,1822
2024-10-01,referral,244.01,130,8806
2024-10-01,display,551.74,212,3797
2024-10-02,paid_search,1818.36,656,11927
2024-10-02,social,1256.88,762,40857
2024-10-02,email,166.2,92,5630
2024-10-02,referral,378.85,169,14584
2024-10-02,display,490.71,194,3604
2024-10-03,paid_search,2335.37,1170,23033
2024-10-03,social,1274.55,410,7984
2024-10-03,email,198.92,65,2495
2024-10-03,referral,233.66,102,4009
2024-10-03,display,803.4,490,17353
2024-10-04,paid_search,2181.47,689,24057
2024-10-04,social,1249.04,436,9554
2024-10-04,email,152.39,110,3585
2024-10-04,referral,264.25,166,4083
2024-10-04,display,771.0,369,29899
2024-10-05,paid_search,1641.79,1286,47819
2024-10-05,social,642.26,257,6944
2024-10-05,email,110.26,49,1059
2024-10-05,referral,136.13,56,1623
2024-10-05,display,337.54,152,2746
2024-10-06,paid_search,894.68,315,7508
2024-10-06,social,1105.11,415,10512
2024-10-06,email,127.92,102,3967
2024-10-06,referral,152.87,51,965
2024-10-06,display,581.89,192,6694
2024-10-07,paid_search,1204.16,437,41669
2024-10-07,social,1063.28,400,15225
2024-10-07,email,152.99,85,1844
2024-10-07,referral,240.24,82,3867
2024-10-07,display,553.42,315,8177
2024-10-08,paid_search,1873.02,1466,81125
2024-10-08,social,840.95,344,6085
2024-10-08,email,140.68,65,1568
2024-10-08,referral,396.21,135,8517
2024-10-08,display,547.11,327,5918
2024-10-09,paid_search,2226.38,1151,32054
2024-10-09,social,1169.36,399,7073
2024-10-09,email,173.04,83,1607
2024-10-09,referral,214.57,91,1956
2024-10-09,display,570.81,224,3948
2024-10-10,paid_search,2143.56,1316,30671
2024-10-10,social,968.42,319,6068
2024-10-10,email,186.07,61,1994
2024-10-10,referral,361.99,155,6240
2024-10-10,display,687.27,217,9711
2024-10-11,paid_search,2258.88,1319,56238
2024-10-11,social,1568.0,502,23613
2024-10-11,email,119.53,40,912
2024-10-11,referral,188.1,85,2913
2024-10-11,display,763.22,362,6512
2024-10-12,paid_search,1462.0,955,29475
2024-10-12,social,1050.4,521,9518
2024-10-12,email,147.37,51,1422
2024-10-12,referral,247.99,168,3704
2024-10-12,display,317.59,119,5424
2024-10-13,paid_search,1735.88,603,10238
2024-10-13,social,992.35,431,12704
2024-10-13,email,143.98,81,2161
